"","iso3","country","cow_code","NAMES_STD","exist_unemp","unemp_firstlaw","year"
"4890","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1909
"4891","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1909
"4892","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1909
"4893","SSD",NA,NA,NA,NA,NA,1909
"4894","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1909
"4895","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1909
"4896","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1909
"4897","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1909
"4898","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1909
"4899","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1909
"4900","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1909
"4901","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1909
"4902","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1909
"4903","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1909
"4904","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1909
"4905","TLS",NA,NA,NA,NA,NA,1909
"4906","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1909
"4907","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1909
"4908","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1909
"4909","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1909
"4910","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1909
"4911","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1909
"4912","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1909
"4913","USA","United States of America",2,"United States","unemployment benefit programme",1935,1909
"4914","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1909
"4915","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1909
"4916","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1909
"4917","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1909
"4918","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1909
"4919","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1909
"4920","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1909
"4921","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1910
"4922","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1910
"4923","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1910
"4924","ARE",NA,NA,NA,NA,NA,1910
"4925","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1910
"4926","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1910
"4927","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1910
"4928","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1910
"4929","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1910
"4930","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1910
"4931","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1910
"4932","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1910
"4933","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1910
"4934","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1910
"4935","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1910
"4936","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1910
"4937","BIH",NA,NA,NA,NA,NA,1910
"4938","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1910
"4939","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1910
"4940","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1910
"4941","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1910
"4942","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1910
"4943","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1910
"4944","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1910
"4945","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1910
"4946","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1910
"4947","CHN","China",710,"China","unemployment benefit programme",1986,1910
"4948","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1910
"4949","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1910
"4950","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1910
"4951","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1910
"4952","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1910
"4953","COM",NA,NA,NA,NA,NA,1910
"4954","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1910
"4955","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1910
"4956","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1910
"4957","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1910
"4958","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1910
"4959","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1910
"4960","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1910
"4961","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1910
"4962","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1910
"4963","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1910
"4964","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1910
"4965","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1910
"4966","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1910
"4967","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1910
"4968","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1910
"4969","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1910
"4970","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1910
"4971","FRA","France",220,"France","unemployment benefit programme",1905,1910
"4972","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1910
"4973","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1910
"4974","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1910
"4975","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1910
"4976","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1910
"4977","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1910
"4978","GNB",NA,NA,NA,NA,NA,1910
"4979","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1910
"4980","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1910
"4981","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1910
"4982","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1910
"4983","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1910
"4984","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1910
"4985","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1910
"4986","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1910
"4987","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1910
"4988","IND","India",750,"India","unemployment benefit programme",2005,1910
"4989","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1910
"4990","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1910
"4991","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1910
"4992","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1910
"4993","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1910
"4994","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1910
"4995","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1910
"4996","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1910
"4997","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1910
"4998","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1910
"4999","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1910
"5000","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1910
"5001","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1910
"5002","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1910
"5003","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1910
"5004","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1910
"5005","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1910
"5006","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1910
"5007","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1910
"5008","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1910
"5009","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1910
"5010","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1910
"5011","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1910
"5012","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1910
"5013","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1910
"5014","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1910
"5015","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1910
"5016","MKD",NA,NA,NA,NA,NA,1910
"5017","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1910
"5018","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1910
"5019","MNE",NA,NA,NA,NA,NA,1910
"5020","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1910
"5021","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1910
"5022","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1910
"5023","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1910
"5024","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1910
"5025","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1910
"5026","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1910
"5027","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1910
"5028","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1910
"5029","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1910
"5030","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1910
"5031","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1910
"5032","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1910
"5033","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1910
"5034","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1910
"5035","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1910
"5036","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1910
"5037","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1910
"5038","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1910
"5039","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1910
"5040","POL","Poland",290,"Poland","unemployment benefit programme",1924,1910
"5041","PRK",NA,NA,NA,NA,NA,1910
"5042","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1910
"5043","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1910
"5044","QAT","Qatar",694,"Qatar",NA,NA,1910
"5045","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1910
"5046","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1910
"5047","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1910
"5048","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1910
"5049","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1910
"5050","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1910
"5051","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1910
"5052","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1910
"5053","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1910
"5054","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1910
"5055","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1910
"5056","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1910
"5057","SSD",NA,NA,NA,NA,NA,1910
"5058","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1910
"5059","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1910
"5060","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1910
"5061","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1910
"5062","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1910
"5063","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1910
"5064","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1910
"5065","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1910
"5066","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1910
"5067","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1910
"5068","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1910
"5069","TLS",NA,NA,NA,NA,NA,1910
"5070","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1910
"5071","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1910
"5072","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1910
"5073","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1910
"5074","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1910
"5075","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1910
"5076","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1910
"5077","USA","United States of America",2,"United States","unemployment benefit programme",1935,1910
"5078","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1910
"5079","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1910
"5080","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1910
"5081","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1910
"5082","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1910
"5083","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1910
"5084","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1910
"5085","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1911
"5086","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1911
"5087","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1911
"5088","ARE",NA,NA,NA,NA,NA,1911
"5089","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1911
"5090","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1911
"5091","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1911
"5092","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1911
"5093","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1911
"5094","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1911
"5095","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1911
"5096","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1911
"5097","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1911
"5098","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1911
"5099","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1911
"5100","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1911
"5101","BIH",NA,NA,NA,NA,NA,1911
"5102","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1911
"5103","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1911
"5104","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1911
"5105","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1911
"5106","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1911
"5107","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1911
"5108","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1911
"5109","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1911
"5110","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1911
"5111","CHN","China",710,"China","unemployment benefit programme",1986,1911
"5112","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1911
"5113","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1911
"5114","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1911
"5115","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1911
"5116","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1911
"5117","COM",NA,NA,NA,NA,NA,1911
"5118","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1911
"5119","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1911
"5120","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1911
"5121","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1911
"5122","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1911
"5123","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1911
"5124","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1911
"5125","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1911
"5126","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1911
"5127","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1911
"5128","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1911
"5129","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1911
"5130","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1911
"5131","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1911
"5132","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1911
"5133","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1911
"5134","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1911
"5135","FRA","France",220,"France","unemployment benefit programme",1905,1911
"5136","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1911
"5137","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1911
"5138","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1911
"5139","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1911
"5140","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1911
"5141","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1911
"5142","GNB",NA,NA,NA,NA,NA,1911
"5143","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1911
"5144","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1911
"5145","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1911
"5146","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1911
"5147","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1911
"5148","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1911
"5149","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1911
"5150","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1911
"5151","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1911
"5152","IND","India",750,"India","unemployment benefit programme",2005,1911
"5153","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1911
"5154","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1911
"5155","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1911
"5156","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1911
"5157","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1911
"5158","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1911
"5159","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1911
"5160","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1911
"5161","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1911
"5162","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1911
"5163","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1911
"5164","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1911
"5165","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1911
"5166","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1911
"5167","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1911
"5168","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1911
"5169","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1911
"5170","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1911
"5171","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1911
"5172","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1911
"5173","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1911
"5174","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1911
"5175","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1911
"5176","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1911
"5177","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1911
"5178","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1911
"5179","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1911
"5180","MKD",NA,NA,NA,NA,NA,1911
"5181","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1911
"5182","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1911
"5183","MNE",NA,NA,NA,NA,NA,1911
"5184","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1911
"5185","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1911
"5186","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1911
"5187","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1911
"5188","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1911
"5189","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1911
"5190","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1911
"5191","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1911
"5192","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1911
"5193","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1911
"5194","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1911
"5195","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1911
"5196","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1911
"5197","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1911
"5198","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1911
"5199","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1911
"5200","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1911
"5201","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1911
"5202","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1911
"5203","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1911
"5204","POL","Poland",290,"Poland","unemployment benefit programme",1924,1911
"5205","PRK",NA,NA,NA,NA,NA,1911
"5206","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1911
"5207","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1911
"5208","QAT","Qatar",694,"Qatar",NA,NA,1911
"5209","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1911
"5210","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1911
"5211","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1911
"5212","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1911
"5213","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1911
"5214","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1911
"5215","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1911
"5216","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1911
"5217","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1911
"5218","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1911
"5219","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1911
"5220","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1911
"5221","SSD",NA,NA,NA,NA,NA,1911
"5222","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1911
"5223","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1911
"5224","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1911
"5225","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1911
"5226","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1911
"5227","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1911
"5228","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1911
"5229","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1911
"5230","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1911
"5231","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1911
"5232","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1911
"5233","TLS",NA,NA,NA,NA,NA,1911
"5234","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1911
"5235","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1911
